D̩cada,Julgamentos,Mortes,Taxa Mortalidade
1300,48,38,0.7916666666666666
1310,116,102,0.8793103448275862
1320,71,5,0.07042253521126761
1330,53,23,0.4339622641509434
1340,9,0,0.0
1350,15,0,0.0
1360,12,1,0.08333333333333333
1370,30,5,0.16666666666666666
1380,31,2,0.06451612903225806
1390,38,14,0.3684210526315789
1400,202,54,0.26732673267326734
1410,181,46,0.2541436464088398
1420,561,421,0.750445632798574
1430,249,78,0.3132530120481928
1440,255,87,0.3411764705882353
1450,234,75,0.32051282051282054
1460,120,39,0.325
1470,145,35,0.2413793103448276
1480,406,188,0.4630541871921182
1490,207,98,0.47342995169082125
1500,85,38,0.4470588235294118
1510,99,37,0.37373737373737376
1520,120,46,0.38333333333333336
1530,145,60,0.41379310344827586
1540,234,105,0.44871794871794873
1550,402,162,0.40298507462686567
1560,716,243,0.3393854748603352
1570,1188,485,0.40824915824915825
1580,2257,1177,0.5214887018165707
1590,3705,1923,0.5190283400809717
1600,2726,1081,0.39655172413793105
1610,6035,1966,0.32576636288318145
1620,4741,2378,0.5015819447373971
1630,2723,1402,0.5148733015056922
1640,2909,986,0.338948092127879
1650,2636,951,0.3607738998482549
1660,2446,562,0.22976287816843827
1670,1956,499,0.2551124744376278
1680,1522,193,0.12680683311432325
1690,1094,209,0.1910420475319927
1700,612,113,0.184640522875817
1710,479,100,0.20876826722338204
1720,485,113,0.2329896907216495
1730,300,60,0.2
1740,338,99,0.29289940828402367
1750,211,27,0.12796208530805686
1760,57,2,0.03508771929824561
1770,26,4,0.15384615384615385
1780,3,1,0.3333333333333333
1790,4,0,0.0
1820,1,0,0.0
1830,1,0,0.0
1850,1,0,0.0
